SCOPUS_ID,eid,Author,title of paper,cit_count,uni_name,city,country,type
85079859497,2-s2.0-85079859497,Masaoka M.,The vagina is the third ear,0,Columbia University in the City of New York,New York,United States,Note
85081930539,2-s2.0-85081930539,Toth L.,Rebellion Without a Cause: Distorted Representations of Bebop in The Wild One,0,St. Norbert College,De Pere,United States,Article
85083679430,2-s2.0-85083679430,Mussies M.,‘Wakker Met Een Wijsje’–How Kinderen Voor Kinderen Gave Voice to the Changing Dutch Zeitgeist,0,Utrecht University,Utrecht,Netherlands,Article
85078750150,2-s2.0-85078750150,Miltner K.,"“One part politics, one part technology, one part history”: Racial representation in the Unicode 7.0 emoji set",0,University of Edinburgh,Edinburgh,United Kingdom,Article
85079402793,2-s2.0-85079402793,Grebenar A.,Lost in music: mapping the 21st century house music event experience,0,Lancashire School of Business and Enterprise,Preston,United Kingdom,Article
85079890591,2-s2.0-85079890591,McMurtry L.,Dark night of the soul: Applicability of theory in comics and radio through the scripted podcast drama,0,University of Salford,Salford,United Kingdom,Article
85074827239,2-s2.0-85074827239,Bauer C.,Tastalyzer: Audiovisual exploration of urban and rural variations in music taste,0,Johannes Kepler University Linz,Linz,Austria,Conference Paper
85076984577,2-s2.0-85076984577,Ford R.,A blues bibliography: Second edition,0,University of Southampton,Southampton,United Kingdom,Book
85079859497,2-s2.0-85079859497,Masaoka M.,The vagina is the third ear,0,Columbia University in the City of New York,New York,United States,Note
85081930539,2-s2.0-85081930539,Toth L.,Rebellion Without a Cause: Distorted Representations of Bebop in The Wild One,0,St. Norbert College,De Pere,United States,Article
85083679430,2-s2.0-85083679430,Mussies M.,‘Wakker Met Een Wijsje’–How Kinderen Voor Kinderen Gave Voice to the Changing Dutch Zeitgeist,0,Utrecht University,Utrecht,Netherlands,Article
85078750150,2-s2.0-85078750150,Miltner K.,"“One part politics, one part technology, one part history”: Racial representation in the Unicode 7.0 emoji set",0,University of Edinburgh,Edinburgh,United Kingdom,Article
85079402793,2-s2.0-85079402793,Grebenar A.,Lost in music: mapping the 21st century house music event experience,0,Lancashire School of Business and Enterprise,Preston,United Kingdom,Article
85079890591,2-s2.0-85079890591,McMurtry L.,Dark night of the soul: Applicability of theory in comics and radio through the scripted podcast drama,0,University of Salford,Salford,United Kingdom,Article
85074827239,2-s2.0-85074827239,Bauer C.,Tastalyzer: Audiovisual exploration of urban and rural variations in music taste,0,Johannes Kepler University Linz,Linz,Austria,Conference Paper
85076984577,2-s2.0-85076984577,Ford R.,A blues bibliography: Second edition,0,University of Southampton,Southampton,United Kingdom,Book
85065254476,2-s2.0-85065254476,Steenkamp-Nel A.,Transformative joy in qohelet: A thread that faintly glistens,1,University of South Africa,Pretoria,South Africa,Article
85085433819,2-s2.0-85085433819,Mahoney C.,Women in neoliberal postfeminist television drama: Representing gendered experiences of the second world war,0,University of Liverpool,Liverpool,United Kingdom,Book
85059752960,2-s2.0-85059752960,Chen S.,Locality Preserving Discriminative Complex-Valued Latent Variable Model,0,National Central University Taiwan,Chung-Li,Taiwan,Conference Paper
85050271626,2-s2.0-85050271626,Martínez J.H.,Multiplex networks of musical artists: The effect of heterogeneous inter-layer links,1,Institut du Cerveau et de la Moelle Épinière,Paris,France,Article
85031112710,2-s2.0-85031112710,Lafrance M.,"Race, gender, and the Billboard Top 40 charts between 1997 and 2007",1,Concordia University,Montreal,Canada,Article
85056713184,2-s2.0-85056713184,Araujo C.,Identification of most popular musical genres and their influence factors,1,Universidade Federal do Amazonas,Manaus,Brazil,Conference Paper
85055074542,2-s2.0-85055074542,Shi Y.,Innovation or deviation? the relationship between boundary crossing and audience evaluation in the music field,0,University of Iowa,Iowa City,United States,Article
85052139224,2-s2.0-85052139224,Halfacree K.,Hope and repair within the Western Skyline? Americana Music's rural heterotopia,1,Swansea University,Swansea,United Kingdom,Article
85074417324,2-s2.0-85074417324,Hannan C.,Difficulty as heaviness: Links between rhythmic difficulty and perceived heaviness in the music of meshuggah and the dillinger escape plan,0,Columbia University in the City of New York,New York,United States,Article
85060182599,2-s2.0-85060182599,Godsall J.,Reeled In: Pre-existing music in narrative film,0,"Royal Holloway, University of London",Egham,United Kingdom,Book
85038413012,2-s2.0-85038413012,Patterson R.,Marriage panacea: Black music re(imagines) sociological explanations of black inequality,0,Georgetown University,"Washington, D.C.",United States,Article
85049915012,2-s2.0-85049915012,Weems L.,Staging dissent: Young women of color and transnational activism,0,Miami University,Oxford,United States,Book
85050596793,2-s2.0-85050596793,Russell D.,"Reaching the Operatic Stage: The Geographical and Social Origins of British and Irish Opera Singers, c.1850-c.1960",0,Leeds Beckett University,Leeds,United Kingdom,Article
85078939570,2-s2.0-85078939570,Reising R.,'Speak to me': The legacy of Pink Floyd's The dark side of the moon,0,The University of Toledo,Toledo,United States,Book
85041113381,2-s2.0-85041113381,Crowl C.,ProMusicDB.org: Preserving legacy with artist-centric professional music data curation,0,University of Miami,Coral Gables,United States,Article
85030105412,2-s2.0-85030105412,Heuer M.,Marcellus Shale fracking and Susquehanna River stakeholder attitudes: A five-year update,4,Susquehanna University,Selinsgrove,United States,Article
85044220441,2-s2.0-85044220441,Whitla B.,"Singing as un saber del sur, or another way of knowing",0,Emmanuel College,Toronto,Canada,Article
85029791169,2-s2.0-85029791169,Bautista A.,A Flâneur in the Erotic City: Prince and the Urban Imaginary,0,Oberlin College,Oberlin,United States,Article
85030212414,2-s2.0-85030212414,Karjalainen N.,"Place, sound, and tradition: Origin narratives constructing nostalgia in the media representations of female folk singers",0,Vaasan Yliopisto,Vaasa,Finland,Article
85029806415,2-s2.0-85029806415,de Lima B.,Erotic Cities: Instrumental Anthropomorphism in Prince’s Compositions,0,"Centennial College, Canada",Toronto,Canada,Article
85043233806,2-s2.0-85043233806,Clark T.J.,An inherent contradiction: Corporate discretion in morals clause enforcement,0,North Carolina Central University,Durham,United States,Review
85074251639,2-s2.0-85074251639,Stratton J.,"Jews, Race and Popular Music",0,Curtin University,Perth,Australia,Book
85020267479,2-s2.0-85020267479,Shuker R.,Popular music: The key concepts: Fourth Edition,0,Victoria University of Wellington,Wellington,New Zealand,Book
84961169261,2-s2.0-84961169261,Montgomery A.,"The best of two worlds: a new innovative laparoscopic Rives-Stoppa technique for ventral/incisional hernias—“the Brazilian technique”: Invited commentary to: Transabdominal midline reconstruction by minimally invasive surgery: technique and results. Costa TN, Abdalla RZ, Santo MA, Tavares RRFM, Abdalla BMZ, Cecconello I",1,Skånes universitetssjukhus,Lund,Sweden,Letter
84928660338,2-s2.0-84928660338,Bottomley A.,Play It Again: Rock Music Reissues and the Production of the Past for the Present,3,University of Wisconsin-Madison,Madison,United States,Review
85061952269,2-s2.0-85061952269,Gardner A.,PJ Harvey and music video performance,0,University of Gloucestershire,Cheltenham,United Kingdom,Book
85061576213,2-s2.0-85061576213,Spirou P.,'From death to birth': Suicide and Stardom in the musical biopic,0,University of Notre Dame Australia,,Australia,Chapter
84969601811,2-s2.0-84969601811,Morton B.,Acoustic features for recognizing musical artist influence,0,Drexel University,Philadelphia,United States,Conference Paper
84967604730,2-s2.0-84967604730,Auslander P.,"Twenty-first-century girl: Lady gaga, performance art, and glam",2,Georgia Institute of Technology,Atlanta,United States,Chapter
84986206115,2-s2.0-84986206115,Chen S.,Music emotion recognition using deep Gaussian process,10,National Central University Taiwan,Chung-Li,Taiwan,Conference Paper
84967444114,2-s2.0-84967444114,Shuker R.,Understanding popular music culture: Fifth edition,1,Victoria University of Wellington,Wellington,New Zealand,Book
84952864443,2-s2.0-84952864443,Kishimoto K.,Popular music in FRBR and RDA: Toward user-friendly and cataloger-friendly identification of works,3,The University of Chicago,Chicago,United States,Article
85006992540,2-s2.0-85006992540,Malheiro R.,Classification and regression of music lyrics: Emotionally-significant features,3,"University of Coimbra, Centre for Informatics and System",Coimbra,Portugal,Conference Paper
85047480515,2-s2.0-85047480515,Cope A.L.,Black sabbath and the rise of heavy metal music,1,The Music School,Durham,United Kingdom,Book
85057433620,2-s2.0-85057433620,Gergen S.,Estimating source dominated microphone clusters in ad-hoc microphone arrays by fuzzy clustering in the feature space,4,Ruhr-Universitat Bochum,Bochum,Germany,Conference Paper
